n_layer1;n_layer2;n_layer3;dropout_1;dropout_2;k_size1;k_size2;act;optim;n_batch;lr;stride_1;stride_2;stride_3;best_val_loss
8;8;32;0.0771980370245928;0.14878983907795068;3;3;relu;adam;32;1e-05;2;2;1;0.9627184271812439
32;8;32;0.38476047257183965;0.14172317742735338;5;3;relu;adam;32;0.001;2;2;2;0.4494960904121399
32;8;32;0.46370474970245135;0.10413957253833733;5;3;relu;adam;32;0.01;1;2;2;0.6892277002334595
32;8;32;0.4266413018279894;0.003139649900139374;5;5;relu;rmsprop;32;0.001;2;2;2;0.5871936678886414
32;8;32;0.40187273072607715;0.054814246491653076;3;3;relu;sgd;32;0.01;2;2;2;0.9985294342041016
32;8;32;0.49903480146109963;0.13589629301436437;5;3;relu;adam;32;0.0001;2;2;2;1.0028358697891235
32;4;32;0.38266161771015084;0.16920332153378026;5;3;relu;adam;4;0.001;2;2;2;0.3927731215953827
32;4;32;0.4028454284988263;0.020783920936812555;5;5;relu;adam;4;0.001;1;2;2;0.6193900108337402
32;4;32;0.45153321849749684;0.09828355275312127;5;3;relu;adam;4;0.001;2;2;2;0.42110475897789
32;4;32;0.45310640268677504;0.1027572085636542;3;3;relu;rmsprop;4;0.001;2;2;2;0.48783183097839355
32;4;32;0.38161250828644216;0.07360906206240267;5;3;relu;sgd;4;0.001;2;2;2;0.9988464117050171
32;4;32;0.3640045537386345;0.047960329567389;5;3;relu;adam;4;0.001;2;2;2;0.45403343439102173
32;4;32;0.31502203500238063;0.09228732154995628;5;5;relu;adam;4;0.001;1;2;2;0.5989261865615845
32;4;8;0.34414686011156426;0.1680194376684865;5;3;relu;adam;4;0.001;2;2;2;0.4850239157676697
32;4;32;0.33434624143922925;0.1134370293754769;3;3;relu;adam;4;0.001;2;2;2;0.4669899344444275
32;4;32;0.43027469625974024;0.015840537359245385;5;3;relu;rmsprop;4;0.001;2;2;2;0.4952510893344879
32;4;32;0.44909432837833274;0.13295128491074695;5;3;relu;sgd;4;0.001;2;2;2;1.0001561641693115
32;4;16;0.4904112708693431;0.06982982328734573;5;5;relu;adam;4;0.001;1;2;2;0.6208407878875732
32;4;32;0.36176252179161933;0.08423149387042425;5;3;relu;adam;4;0.001;2;2;2;0.4559512138366699
32;4;8;0.4072099009936858;0.14417231601024244;3;3;relu;adam;4;0.001;2;2;2;0.45168405771255493
32;4;32;0.38165295485382433;0.19372410550206165;5;3;relu;adam;2;0.001;2;2;2;0.5927537679672241
8;32;32;0.47625497876804507;0.1679119966191973;5;3;relu;rmsprop;4;0.001;2;2;2;0.4468897581100464
8;32;16;0.47123007388887866;0.16449155287955255;5;3;elu;rmsprop;4;0.001;2;2;2;0.6257103681564331
8;32;32;0.43989501975946266;0.2319180727047339;5;5;relu;rmsprop;4;0.001;1;2;2;0.5076764822006226
8;32;8;0.41930903691097043;0.04132586572819949;3;3;relu;rmsprop;4;1e-05;2;2;2;0.8313936591148376
8;32;32;0.48553851878526905;0.17648609195002912;5;3;relu;rmsprop;4;0.001;2;2;2;0.48103412985801697
8;32;32;0.45585378909821955;0.24330153492284912;5;3;elu;rmsprop;4;0.001;2;2;2;0.6818245053291321
8;32;16;0.39608896255910725;0.2088643220962589;5;3;relu;rmsprop;4;0.001;2;2;2;0.5222534537315369
8;32;32;0.49923350162282265;0.02031170050734682;5;5;relu;rmsprop;16;0.0001;1;2;2;0.6570085287094116
8;4;8;0.4743513295449681;0.1819469107769799;5;3;relu;rmsprop;4;1e-05;2;2;2;1.0009886026382446
16;32;32;0.41312276352131344;0.25875210769460094;3;3;elu;rmsprop;4;0.001;2;2;2;0.5354378819465637
